id;road;Start name;End name;Start;End;speed_limit_kph
1;"АМ ""Тракия""";Вакарел (км 24+288);Ихтиман (км 43+448);42.5504749,23.7027161;42.4270202,23.8541446;140
2;"АМ ""Тракия""";Ихтиман (км 43+448);Вакарел (км 24+288);42.4270202,23.8541446;42.5504749,23.7027161;137.17
3;"АМ ""Тракия""";Цалапица (км 107+663);Радиново (км 118+599);42.2049732,24.5085252;42.1983312,24.6403754;140
4;"АМ ""Тракия""";Радиново (км 118+599);Цалапица (км 107+663);42.1983312,24.6403754;42.2049732,24.5085252;135.92
5;"АМ ""Хемус""";Белокопитово (км 340+293);Каспичан (км 361+581);43.3370072,26.9001578;43.3231872,27.1493371;140
6;"АМ ""Хемус""";Каспичан (км 361+581);Белокопитово (км 340+293);43.3233655,27.1496596;43.3370072,26.9001578;136.42
7;"АМ ""Хемус""";Девня (км 399+703);Игнатиево (км 418+126);43.2272468,27.5834579;43.2406809,27.7811579;137.75
8;"АМ ""Хемус""";Игнатиево (км 418+126);Девня (км 399+703);43.2408306,27.7813069;43.2274153,27.5837284;138.53
9;"АМ ""Струма""";Сандански (км 143+945);Дамяница (км 151+251);41.5732601,23.239601;41.5146122,23.2714122;140
10;"АМ ""Струма""";Дамяница (км 151+251);Сандански (км 143+945);41.5143868,23.2716151;41.5730178,23.2398523;140
11;"АМ ""Струма""";Българчево (км 90+219);Покровник (км 92+548);42.0115908,23.0446417;41.9920391,23.0538299;140
12;"АМ ""Струма""";Покровник (км 92+548);Българчево (км 90+219);41.9918247,23.0541256;42.0115725,23.044893;140
13;"АМ ""Марица""";Любимец (км 83+554);Момково (км 89+476);41.8626802,26.0873785;41.8322163,26.1404669;140
14;"АМ ""Марица""";Момково (км 89+476);Любимец (км 83+554);41.8320867,26.1408012;41.8626289,26.087602;140
15;"АМ ""Марица""";Момково (км 89+476);Свиленград (км 98+481);41.8322163,26.1404669;41.7787776,26.2173225;140
16;"АМ ""Марица""";Свиленград (км 98+481);Момково (км 89+476);41.7788093,26.2175778;41.8320867,26.1408012;140
17;"АМ ""Марица""";Харманли (км 62+476);Любимец (км 83+554);41.9578283,25.8823949;41.8626802,26.0873785;140
18;"АМ ""Марица""";Любимец (км 83+554);Харманли (км 62+476);41.8626289,26.087602;41.9579527,25.8826987;140
19;Северна скоростна тангента;м/у 18 и п.в.Илиянци (км 50+427);Чепинци (км 60+705);42.7654003,23.2968193;42.7195931,23.4003845;120
20;Северна скоростна тангента;Чепинци (км 60+705);м/у 18 и п.в.Илиянци (км 50+427);42.7197504,23.4006745;42.765432,23.2972559;120
21;I-1;Жеглица (км 23+485);Срацимирово (км 34+751);43.8784963,22.7892939;43.8203345,22.7575468;82.11
22;I-1;Срацимирово (км 34+751);Жеглица (км 23+485);43.8201989,22.7573757;43.8783538,22.7891182;82.09
23;I-1;Слатино (км 343+292);Кочериновo (км 353+878);42.1579642,23.0411309;42.064224,23.0384941;
24;I-1;Кочериновo (км 353+878);Слатино (км 343+292);42.0640433,23.0385531;42.1577812,23.0411313;
25;I-2;Струйно (км 104+733);Шумен (км 112+381);43.3621748,26.8510475;43.3174431,26.9200411;80.19
26;I-2;Шумен (км 112+381);Струйно (км 104+733);43.3172602,26.9203192;43.3620408,26.8512194;80.34
27;I-3;Долни Дъбник (км 100+471);Телиш (км 122+349);43.4162825,24.4707422;43.3261765,24.2721534;81.9
28;I-3;Телиш (км 122+349);Долни Дъбник (км 100+471);43.3261015,24.272058;43.4161215,24.4706346;82.66
29;I-4;Български извор (км 13+536);Сопот (км 22+734);43.0384219,24.2736937;43.0341965,24.3818785;79.49
30;I-4;Сопот (км 22+734);Български извор (км 13+536);43.0342221,24.3820344;43.0383703,24.2739421;79.57
31;I-5;Полски Тръмбеш (км 68+946);Поликраище (км 89+971);43.3720538,25.6443702;43.1891994,25.6218824;76.48
32;I-5;Поликраище (км 89+971);Полски Тръмбеш (км 68+946);43.189024,25.621854;43.3717806,25.6443729;76.48
33;I-5;Обретеник (км 34+704);Тръстеник (км 25+914);43.571539,25.822067;43.6395683,25.8723455;90.14
34;I-5;Тръстеник (км 25+914);Обретеник (км 34+704);43.6398357,25.8724552;43.5719604,25.8221535;90.14
35;I-5;Одяланик (км 11+382);Тръстеник (км 25+914);43.7565978,25.9065237;43.6398357,25.8724552;90
36;I-5;Тръстеник (км 25+914);Одяланик (км 11+382);43.6395683,25.8723455;43.7563042,25.9066206;90
37;I-6;Беланица (км 60+643);Радомир (км 69+047);42.4875723,22.9269672;42.5549434,22.9653829;71.33
38;I-6;Радомир (км 69+047);Беланица (км 60+643);42.5551827,22.9651531;42.4876654,22.9271735;71.23
